03:48:56,IST,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
03:49:16,IST,4028076,12404732,75.49,486648,9274464,5307580,15.98,5697096,5776128,0
03:49:36,IST,4028308,12404500,75.49,486648,9274464,5301116,15.96,5697112,5776116,8
03:49:56,IST,4027672,12405136,75.49,486648,9274464,5290900,15.93,5697112,5776116,0
03:50:16,IST,4027828,12404980,75.49,486648,9274464,5289868,15.93,5697112,5776116,24
03:50:36,IST,3983156,12449652,75.76,486648,9274656,5376540,16.19,5745188,5773028,440
03:50:56,IST,3513612,12919196,78.62,486648,9275264,6174252,18.59,6199440,5773100,1248
03:51:16,IST,2950324,13482484,82.05,486648,9276068,7067768,21.28,6745764,5773292,2484
03:51:36,IST,2427304,14005504,85.23,486648,9276972,7890008,23.76,7251344,5773680,3144
03:51:56,IST,1850228,14582580,88.74,486656,9277884,8780828,26.44,7811176,5773992,3604
03:52:16,IST,1451692,14981116,91.17,486656,9278704,9363012,28.19,8197092,5774292,4304
03:52:36,IST,1268388,15164420,92.28,486656,9279232,9544900,28.74,8379276,5774620,4080
03:52:56,IST,1100384,15332424,93.30,486656,9279768,9696412,29.20,8544440,5774524,4528
03:53:16,IST,942992,15489816,94.26,486656,9280168,9857168,29.68,8699936,5774480,3836
03:53:36,IST,821468,15611340,95.00,486660,9280648,9976460,30.04,8819608,5774872,3412
03:53:56,IST,759312,15673496,95.38,486668,9281116,10048784,30.26,8883532,5775308,3948
03:54:16,IST,639832,15792976,96.11,486668,9281676,10163768,30.60,9000504,5775588,3652
03:54:36,IST,551644,15881164,96.64,486672,9282092,10235820,30.82,9088524,5775888,4084
03:54:56,IST,503328,15929480,96.94,486684,9286636,10268264,30.92,9135452,5780132,3616
03:55:16,IST,418416,16014392,97.45,486688,9286940,10360668,31.20,9217800,5780436,3312
03:55:36,IST,385888,16046920,97.65,486688,9287540,10375432,31.24,9250476,5780384,4008
03:55:56,IST,379084,16053724,97.69,486692,9287900,10381736,31.26,9256828,5780064,3572
03:56:16,IST,325784,16107024,98.02,486700,9288364,10426940,31.40,9312156,5780380,4076
03:56:36,IST,302108,16130700,98.16,486700,9288700,10455120,31.48,9333908,5780632,3780
03:56:56,IST,296164,16136644,98.20,486700,9289112,10441504,31.44,9338372,5780792,3304
03:57:16,IST,265300,16167508,98.39,486712,9289492,10479428,31.56,9374508,5779912,4044
03:57:36,IST,243644,16189164,98.52,486712,9289776,10483240,31.57,9392096,5780156,3392
03:57:56,IST,217200,16215608,98.68,486712,9290256,10523600,31.69,9417388,5780336,3964
03:58:16,IST,206400,16226408,98.74,486716,9290644,10521780,31.68,9429032,5779728,3600
03:58:36,IST,203964,16228844,98.76,486728,9291044,10526856,31.70,9432424,5780108,4052
03:58:56,IST,181408,16251400,98.90,486744,9291452,10552612,31.78,9453916,5780416,3752
03:59:16,IST,180112,16252696,98.90,486744,9291864,10548572,31.76,9452692,5780744,3248
03:59:36,IST,172444,16260364,98.95,486748,9292124,10560108,31.80,9464128,5780888,3500
03:59:56,IST,170952,16261856,98.96,486748,9292644,10547220,31.76,9465524,5781164,3404
04:00:16,IST,168392,16264416,98.98,486748,9292952,10554536,31.78,9465844,5781360,3716
04:00:36,IST,164324,16268484,99.00,486748,9293328,10541568,31.74,9469800,5780740,3464
04:00:56,IST,163920,16268888,99.00,486748,9293732,10564324,31.81,9471952,5781016,3984
04:01:16,IST,148736,16284072,99.09,486748,9294068,10557904,31.79,9486072,5781160,3456
04:01:36,IST,152296,16280512,99.07,486748,9294556,10575900,31.85,9480108,5781496,3284
04:01:56,IST,144324,16288484,99.12,486748,9294948,10565432,31.81,9488988,5781868,4028
04:02:16,IST,133376,16299432,99.19,486748,9295280,10579500,31.86,9498892,5782060,3536
04:02:36,IST,118984,16313824,99.28,486748,9292516,10606204,31.94,9510696,5784328,3852
04:02:56,IST,120700,16312108,99.27,486748,9289360,10607228,31.94,9505588,5786140,3520
04:03:16,IST,127832,16304976,99.22,486748,9288944,10597636,31.91,9502732,5786524,3248
04:03:36,IST,124400,16308408,99.24,486748,9287084,10592352,31.90,9503344,5787024,3820
04:03:56,IST,122504,16310304,99.25,486748,9283604,10622200,31.98,9501172,5789560,3540
04:04:16,IST,123200,16309608,99.25,486748,9283392,10614716,31.96,9504516,5789260,3736
04:04:36,IST,115012,16317796,99.30,486748,9282980,10629716,32.01,9509164,5789456,3292
04:04:56,IST,116196,16316612,99.29,486748,9281736,10615464,31.96,9506540,5789884,3864
04:05:16,IST,125328,16307480,99.24,486748,9282060,10600732,31.92,9498016,5790132,3568
04:05:36,IST,504084,15928724,96.93,486748,9282564,10105688,30.43,9132212,5787772,3084
04:05:56,IST,1307104,15125704,92.05,486748,9282568,8986616,27.06,8344372,5784408,1572
04:06:16,IST,2113668,14319140,87.14,486748,9282568,7894340,23.77,7559812,5782664,28
04:06:36,IST,2923172,13509636,82.21,486748,9282568,6788872,20.44,6768384,5782660,0
04:06:56,IST,3734592,12698216,77.27,486748,9282572,5689772,17.13,5976816,5779384,24
