Linux,4.2.0-27-generic,(bitnami-virtual-machine),Tuesday,2,August,2016,_x86_64_,(8,CPU),
03:34:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:34:44,IST,eth0,85.25,274.4,12.76,556.63,0,0,0,0.46
03:34:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:34:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:35:04,IST,eth0,87.15,287.3,13.12,584.96,0,0,0,0.48
03:35:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:35:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:35:24,IST,eth0,83.2,267.2,12.54,539.5,0,0,0,0.44
03:35:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:35:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:35:44,IST,eth0,86.65,292.4,13.09,593.71,0,0,0,0.49
03:35:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:35:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:36:04,IST,eth0,87.65,294.25,13.13,589.39,0,0,0,0.48
03:36:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:36:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:36:24,IST,eth0,83.85,282.8,12.61,563.8,0,0,0,0.46
03:36:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:36:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:36:44,IST,eth0,84.7,271.75,12.64,545.54,0,0,0,0.45
03:36:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:36:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:37:04,IST,eth0,81.45,270.25,12.09,547.69,0,0,0,0.45
03:37:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:37:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:37:24,IST,eth0,94.3,315.5,14.24,639.78,0,0,0,0.52
03:37:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:37:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:37:44,IST,eth0,81.9,256.95,12.13,514.81,0,0,0,0.42
